designation;categorie;code
MATHEMATIQUES DE L'INGENIEUR 3;A;SCI491
URBANISME ET HABITAT;B;AMG491
MECANIQUE DES MILIEUX CONTINUS;B;CIB401
GESTION DES PROJETS DE CONSTRUCTION;B;GPC491
GEOTECHNIQUE APPLIQUEE 2;B;GFD401
METHODES DE RECHERCHE SCIENTIFIQUE;C;RCB401
ENERGIE ET ENVIRONNEMENT;C;ENV401
DEVELOPPEMENT DURABLE ET CONSTRUCTION;B;ENV402
FONCIER ET ENVIRONNEMENT;B;ENV403
SANTE ET ENVIRONNEMENT;C;ENV404
STAGE 4;D;RCB411
HYDRAULIQUE APPLIQUEE 1;B;HYD401
CONSTRUCTION 2;B;CIB406
MODELISATIONS 1;B;HYD402
CONSTRUCTIONS SOUTERRAINES;B;GFD403